name,online_order,book_table,rate,votes,rest_type,cuisines,cost,locality
Berry'd Alive,Yes,No,4.3,1901,Dessert Parlor,Desserts,400.0,Koramangala 4th Block
Eat Sleep Eat Repeat,Yes,No,3.5,16,Quick Bites,"Chinese, North Indian, Continental",200.0,Koramangala 4th Block
The Duke of Juices,Yes,No,2.8,5,Quick Bites,"Juices, Beverages, Salad",200.0,Koramangala 4th Block
Crystal Grandeur,Yes,No,,0,Casual Dining,"North Indian, Chinese, Continental",600.0,Koramangala 4th Block
Nuty,Yes,No,,0,Quick Bites,"North Indian, Biryani",300.0,Koramangala 4th Block
Wakeup Cafe,Yes,No,3.4,9,Quick Bites,"Fast Food, Beverages",300.0,Koramangala 4th Block
Classic Biryani Hut,Yes,No,3.4,10,Quick Bites,"Biryani, Fast Food",300.0,Koramangala 4th Block
Naati Biriyani,No,No,3.1,4,Quick Bites,"Kebab, Biryani",300.0,Koramangala 4th Block
Namms Cafe,Yes,No,3.2,8,Delivery,"Biryani, South Indian, Fast Food, Rolls, Kebab, North Indian",300.0,Koramangala 4th Block
Lucky's Biriyani Point,Yes,No,3.4,9,"Takeaway, Delivery","Biryani, South Indian, North Indian, Fast Food",400.0,Koramangala 4th Block
Dyu Art Cafe,No,No,4.5,3842,Cafe,"Cafe, Italian, Fast Food",800.0,Koramangala 4th Block
Khichadiwala,Yes,No,3.9,17,"Takeaway, Delivery",North Indian,400.0,Koramangala 4th Block
Eat Street,No,No,4.2,1531,Quick Bites,"North Indian, Chinese, Italian, Street Food, Desserts",600.0,Koramangala 4th Block
Ambur Biryani,Yes,No,,0,Quick Bites,Biryani,200.0,Koramangala 4th Block
Kitchens@HSR,Yes,No,3.1,247,"Takeaway, Delivery","Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",200.0,Koramangala 4th Block
California Burrito,No,No,4.1,1225,Quick Bites,"Mexican, Fast Food",400.0,Koramangala 4th Block
Royal Treat,No,No,4.1,439,Casual Dining,"North Indian, Chinese, Biryani",500.0,Koramangala 4th Block
Khawa Karpo,No,No,4.3,995,Quick Bites,"Chinese, Tibetan, Momos",350.0,Koramangala 4th Block
HSR High Street,No,Yes,3.8,321,Casual Dining,"Hyderabadi, North Indian, South Indian, Biryani",800.0,Koramangala 4th Block
Market Table,No,Yes,4.5,548,Cafe,"Cafe, Continental, Mediterranean, Beverages",900.0,Koramangala 4th Block
Bundar,No,No,4.1,2448,Cafe,"Cafe, Burger, Fast Food, Desserts",700.0,Koramangala 4th Block
Art of Delight,No,No,4.3,450,Dessert Parlor,"Ice Cream, Desserts, Beverages",400.0,Koramangala 4th Block
Indian Coffee House & Restaurant,No,No,4.2,676,Casual Dining,"South Indian, North Indian, Chinese",650.0,Koramangala 4th Block
Samosa Party,No,No,4.1,43,Quick Bites,"Street Food, Fast Food",150.0,Koramangala 4th Block
Baba Da Dhaba,No,Yes,4.1,450,Casual Dining,North Indian,650.0,Koramangala 4th Block
The Himalayan,No,Yes,4.5,324,Casual Dining,Korean,1200.0,Koramangala 4th Block
Side Street Kitchen,No,No,,0,Quick Bites,"Kerala, Chinese, Fast Food",400.0,Koramangala 4th Block
Jose's Mess,No,No,4.4,316,Mess,"Kerala, South Indian, Biryani",300.0,Koramangala 4th Block
Johnny Fox,No,No,3.9,69,Bar,"North Indian, Chinese",1500.0,Koramangala 4th Block
Natural Ice Cream,No,No,4.5,940,Dessert Parlor,"Ice Cream, Beverages",200.0,Koramangala 4th Block
Thottathil Restaurant,No,No,3.8,69,Quick Bites,"Kerala, South Indian, Biryani",300.0,Koramangala 4th Block
The ThickShake Factory,No,No,4.3,236,Beverage Shop,"Beverages, Juices",350.0,Koramangala 4th Block
Bengali Fun Foods,Yes,Yes,3.9,65,Casual Dining,"Bengali, North Indian",600.0,Koramangala 4th Block
Navya Andhra Style Restaurant,No,No,3.5,12,Delivery,"North Indian, South Indian",200.0,Koramangala 4th Block
Wild Thyme Restaurant,No,No,4.5,42,Casual Dining,"Chinese, Continental, North Indian, Italian, Seafood",800.0,Koramangala 4th Block
The Food Therapy,No,No,,0,"Casual Dining, Bar","North Indian, South Indian, Continental, Chinese",1000.0,Koramangala 4th Block
Al Hayath,No,No,3.5,17,Quick Bites,"North Indian, Chinese",200.0,Koramangala 4th Block
PORKEATS,No,No,3.4,6,Quick Bites,"Goan, Mangalorean",400.0,Koramangala 4th Block
Nanna Munna Paratha House,No,No,3.6,20,Quick Bites,North Indian,300.0,Koramangala 4th Block
Al-Madina,No,No,3.3,8,"Takeaway, Delivery","North Indian, Chinese",500.0,Koramangala 4th Block
Rolls On Wheels,No,No,3.2,15,Quick Bites,"Fast Food, Rolls, Momos",200.0,Koramangala 4th Block
Kalpanar Rannaghar,No,No,3.3,9,Delivery,"North Indian, Bengali, Chinese",,Koramangala 4th Block
Falahaar,No,No,3.9,154,Quick Bites,"North Indian, Street Food",200.0,Koramangala 4th Block
Juicemaker,No,No,3.9,164,Beverage Shop,"Beverages, Fast Food",400.0,Koramangala 4th Block
Chopserve,No,No,3.7,19,"Takeaway, Delivery",BBQ,300.0,Koramangala 4th Block
Bisimillah Biriyani,No,No,3.5,11,Quick Bites,"Biryani, Fast Food",300.0,Koramangala 4th Block
Tandoori Club,Yes,No,3.5,5,Delivery,"North Indian, Chinese, Biryani",400.0,Koramangala 4th Block
Avon Bar & Kitchen,No,No,3.7,105,Casual Dining,"Andhra, Chinese, North Indian",700.0,Koramangala 4th Block
Bansuri Sweets,No,No,3.7,73,"Sweet Shop, Quick Bites","Mithai, North Indian, Street Food",250.0,
Jai Jinendra,No,No,4.0,98,Quick Bites,"Street Food, Beverages",200.0,Koramangala 4th Block
Mayuri Andhra Mess,No,No,,0,Mess,"Andhra, Biryani",300.0,Koramangala 4th Block
Popular Bakery,No,No,3.7,36,"Dessert Parlor, Bakery","Desserts, Bakery",600.0,Koramangala 4th Block
North Indian And Bengali Mess,No,No,3.7,34,Mess,"North Indian, Bengali",300.0,Koramangala 4th Block
Kerala Mess. SIJI's MESS,No,No,,0,Mess,Kerala,100.0,Koramangala 4th Block
The Donut Baker,No,No,3.8,62,"Bakery, Dessert Parlor",Desserts,150.0,Koramangala 4th Block
V.S. Garden Restaurant,No,No,3.5,17,Casual Dining,"North Indian, Chinese",800.0,Koramangala 4th Block
Food Theory,No,No,2.7,56,Delivery,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500.0,Koramangala 4th Block
Ande Ka Funda,No,No,3.6,72,Quick Bites,"North Indian, Chinese, Rolls",250.0,Koramangala 4th Block
French Bakery,No,No,3.3,7,Delivery,"Desserts, Bakery, Beverages",250.0,Koramangala 4th Block
Jeevika Donne Biryani,No,No,3.4,8,Quick Bites,"Biryani, Chinese, Fast Food",300.0,Koramangala 4th Block
Bisimillah Biriyani's & Kebab's,No,No,3.3,6,Quick Bites,"Biryani, Fast Food",300.0,Koramangala 4th Block
SS Hot Dhum Briyani Point,No,No,,0,Quick Bites,"North Indian, Chinese, South Indian",200.0,Koramangala 4th Block
Hungry Paunch,No,No,4.0,203,"Food Court, Quick Bites","Bengali, Bihari",350.0,
56 Bhoga Sweets,No,No,3.6,51,"Takeaway, Delivery","Mithai, Street Food",150.0,Koramangala 4th Block
Rotiyana,No,No,,0,Quick Bites,North Indian,400.0,Koramangala 4th Block
Kshera Sagar,No,No,,0,Quick Bites,"North Indian, Chinese",200.0,Koramangala 4th Block
Meal In A Box,No,No,3.6,15,Delivery,Street Food,300.0,Koramangala 4th Block
Murli,No,No,3.7,79,Quick Bites,"North Indian, Chinese, Street Food, Fast Food, Mithai",500.0,Koramangala 4th Block
Rara Avis,No,No,3.7,19,"Takeaway, Delivery","Kerala, Seafood, Biryani, Desserts",400.0,Koramangala 4th Block
Aroma Cafe,No,No,,0,Quick Bites,"Rolls, Sandwich",300.0,Koramangala 4th Block
Pai's Kitchen,No,No,3.5,11,Quick Bites,South Indian,200.0,Koramangala 4th Block
Chettinad Food House,No,No,3.1,7,Quick Bites,"South Indian, Chettinad, North Indian",300.0,Koramangala 4th Block
RP Sweets,No,No,3.4,9,Sweet Shop,Mithai,300.0,Koramangala 4th Block
NGV Fast Food,No,No,3.5,8,Quick Bites,"North Indian, Fast Food",250.0,Koramangala 4th Block
Big Bowl Theory,No,No,3.1,27,Delivery,Continental,400.0,Koramangala 4th Block
Kaaka T Cafe,No,No,3.5,6,Quick Bites,Fast Food,400.0,Koramangala 4th Block
Melt,No,No,4.0,115,Casual Dining,"Continental, Steak, Fast Food",1000.0,Koramangala 4th Block
KrumbKraft,No,No,3.5,5,Bakery,"Bakery, European",300.0,Koramangala 4th Block
Chalo Delhi Darbaar,No,No,,0,Quick Bites,"North Indian, Mughlai, Chinese",400.0,Koramangala 4th Block
Yaduvanshi Hotel,No,No,,0,Quick Bites,"Bihari, Chinese",300.0,Koramangala 4th Block
Apsara Ice Cream,No,No,4.0,128,Dessert Parlor,Ice Cream,200.0,Koramangala 4th Block
Dum & Oven,No,No,3.7,29,Casual Dining,"North Indian, Hyderabadi, Continental",600.0,Koramangala 4th Block
Happy Plate,No,No,3.6,54,Quick Bites,"North Indian, Chinese, South Indian, Fast Food",400.0,
Neer Dosa Fish Land,No,No,3.6,39,Casual Dining,"Seafood, Mangalorean",600.0,Koramangala 4th Block
Le Rosa Restaurant,No,No,3.2,4,Casual Dining,"North Indian, Mughlai, Biryani",700.0,Koramangala 4th Block
Kebab Ganj,No,No,3.4,7,Delivery,"Kebab, Rolls",300.0,Koramangala 4th Block
The Choux Box,No,No,3.5,11,"Takeaway, Delivery","Desserts, Bakery",300.0,Koramangala 4th Block
Nightfork,No,No,3.7,126,Delivery,"Chinese, Biryani, Pizza, Italian, North Indian",500.0,
Mysore Carnival Restaurant,No,No,3.8,14,Quick Bites,"Chinese, Kerala, North Indian, South Indian",350.0,Koramangala 4th Block
Dash In,No,No,3.1,53,Casual Dining,"North Indian, Chinese, Kerala",600.0,
The Breakfast Truck,No,No,3.9,64,Quick Bites,Continental,550.0,
Ronnie's Kitchen,No,No,3.1,12,Quick Bites,Chinese,200.0,Koramangala 4th Block
The Tower Of Pizza,No,No,2.9,16,Quick Bites,"Pizza, Italian",500.0,Koramangala 4th Block
What the Food,No,No,3.6,38,Quick Bites,"North Indian, Chinese, Fast Food",250.0,Koramangala 4th Block
Straight From The Heart,No,No,3.4,5,Bakery,"Bakery, Desserts",300.0,Koramangala 4th Block
Delightz,No,No,4.0,40,Dessert Parlor,"Desserts, Fast Food",300.0,Koramangala 4th Block
Martino's,No,No,3.6,30,Quick Bites,"Italian, Pizza",350.0,Koramangala 4th Block
The Fresh Factor,No,No,3.1,14,Quick Bites,"Juices, Sandwich",200.0,Koramangala 4th Block
NV Patisserie,No,No,3.6,10,"Takeaway, Delivery","Desserts, Bakery",350.0,Koramangala 4th Block
Hotel Thazooq,No,No,3.3,6,Quick Bites,"North Indian, Chinese, Biryani",350.0,Koramangala 4th Block
sCoolMeal,No,No,,0,"Takeaway, Delivery","North Indian, South Indian, Chinese, Pizza",300.0,Koramangala 4th Block
Naani'z Biryani,No,No,3.3,6,Quick Bites,Biryani,300.0,Koramangala 4th Block
Banashankari Donne Biriyani,No,No,3.3,4,Quick Bites,"South Indian, Biryani",300.0,Koramangala 4th Block
Daily & Divine,No,No,,0,Quick Bites,"Fast Food, Juices",200.0,Koramangala 4th Block
Royale Biryani,No,No,,0,"Takeaway, Delivery",Biryani,500.0,Koramangala 4th Block
S.W.A.T Food Truck,No,No,3.7,21,Quick Bites,"American, Fast Food",250.0,Koramangala 4th Block
Juicy Cafe,No,No,,0,Quick Bites,"Juices, Beverages, Fast Food",250.0,Koramangala 4th Block
Box of Biryani,No,No,3.5,9,Delivery,"Biryani, North Indian, Kebab",400.0,Koramangala 4th Block
Tandoor-De-Naal,No,No,3.8,35,"Takeaway, Delivery",Fast Food,200.0,Koramangala 4th Block
Purani Dilli,No,No,3.2,4,Quick Bites,"North Indian, Chinese",300.0,Koramangala 4th Block
Tummy Delight,No,No,3.5,16,Quick Bites,North Indian,400.0,Koramangala 4th Block
Hungry Bowl,No,No,3.6,51,"Takeaway, Delivery","North Indian, Chinese, Italian",500.0,Koramangala 4th Block
Niice Cream,No,No,3.8,38,Dessert Parlor,"Ice Cream, Beverages, Desserts",400.0,Koramangala 4th Block
Bhokali Paratha,No,No,,0,Delivery,North Indian,200.0,Koramangala 4th Block
New Farm Fresh,No,No,3.6,34,Quick Bites,"Italian, Pizza",650.0,Koramangala 4th Block
Chai Mane,No,No,3.0,8,Quick Bites,"Juices, Fast Food",150.0,Koramangala 4th Block
Big Box Theory,No,No,3.6,11,Delivery,"Salad, Healthy Food, Fast Food",550.0,Koramangala 4th Block
Parathe Wali Gali,No,No,3.4,36,"Takeaway, Delivery","North Indian, Beverages",250.0,Koramangala 4th Block
The Sweet Spot,No,No,4.0,157,Dessert Parlor,Desserts,300.0,Koramangala 4th Block
Ambur Hot Dum Biryani,No,No,3.3,8,Quick Bites,Biryani,100.0,Koramangala 4th Block
Chowmein Kitchen,No,No,,0,Quick Bites,"Fast Food, Chinese",150.0,Koramangala 4th Block
Kaati Roll Delights,No,No,3.2,4,"Takeaway, Delivery","Fast Food, Rolls",150.0,Koramangala 4th Block
La Mirch,No,No,3.1,6,Delivery,"North Indian, Kashmiri",400.0,Koramangala 4th Block
Juice Planet Food Corner,No,No,,0,Quick Bites,"Biryani, Beverages",150.0,Koramangala 4th Block
Eat Repeat Express,No,No,3.5,10,Delivery,"North Indian, Chinese, Continental",600.0,Koramangala 4th Block
Two States,No,No,3.4,5,Quick Bites,"North Indian, South Indian, Chinese, Street Food",250.0,Koramangala 4th Block
Baker's Treat,No,No,,0,"Bakery, Dessert Parlor","Bakery, Desserts",350.0,Koramangala 4th Block
Al-Hyatt,No,No,,0,Quick Bites,"Biryani, Chinese",300.0,Koramangala 4th Block
Sugary Bakers - A Boutique Bakery,No,No,,0,Bakery,"Bakery, Desserts",200.0,Koramangala 4th Block
Virgins,No,No,,0,Quick Bites,Fast Food,150.0,Koramangala 4th Block
Ammayi Thakkaram,No,No,,0,Quick Bites,"Kerala, South Indian",400.0,Koramangala 4th Block
Paradise Food Court,No,No,,0,Quick Bites,"North Indian, Chinese",400.0,Koramangala 4th Block
Arzak,No,No,,0,"Takeaway, Delivery","Arabian, Middle Eastern, Rolls, Seafood, BBQ",300.0,Koramangala 4th Block
Rayalaseema Ruchulu,No,No,,0,Casual Dining,"Andhra, North Indian",700.0,Koramangala 4th Block
Dine in Restaurant,No,No,3.4,7,Quick Bites,"South Indian, North Indian, Chinese",500.0,Koramangala 4th Block
Sri Sharana Basaveshwara Khanavali,No,No,,0,Quick Bites,South Indian,200.0,Koramangala 4th Block
Big Foody's,No,No,3.2,4,Delivery,"North Indian, Chinese, South Indian, Fast Food",500.0,Koramangala 4th Block
SS Food Point,No,No,,0,Quick Bites,"South Indian, Biryani",250.0,Koramangala 4th Block
Ambur Biriyani Point,No,No,3.6,26,Quick Bites,Biryani,150.0,Koramangala 4th Block
Amravathi Restaurants & Caterers,No,No,3.1,6,Quick Bites,"North Indian, Chinese",400.0,Koramangala 4th Block
Cakes and Moulds,No,No,3.6,19,Bakery,"Bakery, Desserts",300.0,Koramangala 4th Block
Jadoo Ka Dabba,No,No,3.6,20,Delivery,"North Indian, Chinese",200.0,Koramangala 4th Block
TGS Retails,No,No,3.3,4,"Takeaway, Delivery","Bakery, Desserts",600.0,Koramangala 4th Block
Pockets and Bowls,No,No,3.3,5,Delivery,"Continental, Asian, North Indian",500.0,Koramangala 4th Block
Innate,No,No,3.3,7,Delivery,Beverages,,Koramangala 4th Block
Fried Chicken Burger,No,No,,0,Quick Bites,Fast Food,400.0,Koramangala 4th Block
Alechemy,No,No,,0,Casual Dining,North Indian,1500.0,Koramangala 4th Block
Malnad Military Hotel,No,No,,0,Quick Bites,"South Indian, Chinese",350.0,Koramangala 4th Block
Grand Chillies,No,No,3.4,7,Quick Bites,"North Indian, Chinese, Biryani",400.0,Koramangala 4th Block
Egg D,No,No,,0,Delivery,"North Indian, South Indian, Mexican",300.0,Koramangala 4th Block
Kanha's Kafe,No,No,3.5,12,Quick Bites,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",200.0,Koramangala 4th Block
Edigo,No,No,,0,Delivery,"North Indian, South Indian, Chinese",250.0,Koramangala 4th Block
New Ambur Dum Biryani,No,No,3.2,7,Quick Bites,"Biryani, Kebab",200.0,Koramangala 4th Block
Brew Cafe,No,No,3.2,4,Quick Bites,Fast Food,300.0,Koramangala 4th Block
Food n Fit,No,No,,0,Delivery,"North Indian, Chinese",500.0,Koramangala 4th Block
Curryvape Restaurant,No,No,,0,Quick Bites,North Indian,300.0,Koramangala 4th Block
Ludhiana Junction,No,No,,0,Delivery,"South Indian, Rajasthani",300.0,Koramangala 4th Block
Al Baith,No,No,,0,Quick Bites,"North Indian, Chinese",300.0,Koramangala 4th Block
Royal Hyderabadi Nights,No,No,,0,"Takeaway, Delivery",Hyderabadi,400.0,Koramangala 4th Block
Kitchen's Sea Food Restaurant,No,No,3.4,9,"Takeaway, Delivery","Seafood, North Indian, Chinese",800.0,Koramangala 4th Block
WanderCrust,No,No,,0,"Takeaway, Delivery",Pizza,500.0,Koramangala 4th Block
Sizzlingo,No,No,,0,Quick Bites,North Indian,600.0,Koramangala 4th Block
Evo,No,No,,0,Delivery,"Healthy Food, Salad",500.0,Koramangala 4th Block
Cafe Remix,No,No,,0,Delivery,"Mexican, Italian",600.0,Koramangala 4th Block
Rolling Rolls,No,No,,0,"Takeaway, Delivery","Fast Food, Rolls",450.0,Koramangala 4th Block
FrostBite,No,No,3.5,15,"Dessert Parlor, Quick Bites","Desserts, Fast Food",400.0,Koramangala 4th Block
Bengal Metro,No,No,,0,Quick Bites,Bengali,600.0,Koramangala 4th Block
Delly Belly,No,No,3.2,5,Delivery,"North Indian, Mughlai",400.0,Koramangala 4th Block
Shater Grill House,No,No,3.5,8,Casual Dining,"North Indian, Arabian, Chinese",700.0,Koramangala 4th Block
Biryani House,No,No,3.2,8,"Takeaway, Delivery","Biryani, South Indian",150.0,Koramangala 4th Block
Vegan Khana,No,No,,0,"Takeaway, Delivery","Healthy Food, North Indian, Chinese",400.0,Koramangala 4th Block
Lets cafe,No,No,3.5,6,Quick Bites,"Chinese, North Indian",250.0,Koramangala 4th Block
Eat up's Cloud Kitchen,No,No,,0,Delivery,"Arabian, BBQ, Biryani, Chinese, Continental, Ice Cream, North Indian, South Indian",200.0,Koramangala 4th Block
Garden Hotel,No,No,,0,Quick Bites,"North Indian, Chinese, South Indian",400.0,Koramangala 4th Block
Chocolate Bomb,No,No,,0,Bakery,Bakery,300.0,Koramangala 4th Block
Sofiya Cakes,No,No,,0,Delivery,"Bakery, Desserts",300.0,Koramangala 4th Block
Mr. Meow's Hotdogs,No,No,3.5,7,"Food Court, Quick Bites",Fast Food,300.0,Koramangala 4th Block
Aaharam,No,No,4.0,65,Quick Bites,"Chinese, North Indian",350.0,Koramangala 4th Block
Homfrez.com,No,No,3.4,9,Delivery,"Biryani, Chettinad, Kerala, Maharashtrian, North Indian",400.0,Koramangala 4th Block
Malabar Mint,No,No,3.4,39,Casual Dining,"Kerala, North Indian, Chinese",700.0,Koramangala 4th Block
Snaiksa Foods,No,No,,0,Quick Bites,"North Indian, South Indian",300.0,Koramangala 4th Block
Tit Bits,No,No,,0,Quick Bites,"North Indian, Fast Food",400.0,Koramangala 4th Block
Blu Dale Fast Food,No,No,3.3,7,Quick Bites,"Chinese, North Indian, Andhra, Seafood",250.0,Koramangala 4th Block
Victoria Terminus,No,No,3.4,6,Quick Bites,"Fast Food, Maharashtrian, Rolls",250.0,Koramangala 4th Block
Hunger House 32,No,No,,0,Quick Bites,"North Indian, Chinese",300.0,Koramangala 4th Block
Rice and Rolls,No,No,2.7,61,Quick Bites,"Arabian, Biryani, North Indian, Chinese, Fast Food",500.0,Koramangala 4th Block
Holiday Fast Food,No,No,3.4,21,Quick Bites,"Kerala, South Indian, Chinese",350.0,Koramangala 4th Block
Food Treat,No,No,,0,Quick Bites,"North Indian, Chinese, Kerala",400.0,Koramangala 4th Block
Svadu Sweets,No,No,3.3,5,"Quick Bites, Sweet Shop","Street Food, Mithai",200.0,Koramangala 4th Block
Durga Maata Hotel,No,No,,0,Quick Bites,"North Indian, Chinese",200.0,Koramangala 4th Block
Choo Zi,No,No,,0,Delivery,Chinese,300.0,Koramangala 4th Block
Homemade,No,No,,0,"Takeaway, Delivery",North Indian,450.0,Koramangala 4th Block
Cake Inc.,No,No,,0,Bakery,"Bakery, Desserts",450.0,Koramangala 4th Block
Lassi House,No,No,,0,Beverage Shop,"Beverages, Desserts",150.0,Koramangala 4th Block
Oven Fresh,No,No,,0,Bakery,"Bakery, Fast Food",600.0,Koramangala 4th Block
Tasty Kitchens,Yes,No,,0,Quick Bites,Pizza,500.0,Koramangala 4th Block
Bombay Kulfi,No,No,,0,Dessert Parlor,"Desserts, Ice Cream",150.0,Koramangala 4th Block
Spoorthi Ice Cream,No,No,,0,Dessert Parlor,"Desserts, Ice Cream",150.0,Koramangala 4th Block
Food Magic,No,No,,0,Quick Bites,"North Indian, Chinese",300.0,Koramangala 4th Block
Desi Tadka,No,No,,0,Quick Bites,North Indian,200.0,Koramangala 4th Block
North Indian Rasoi,No,No,,0,"Takeaway, Delivery","North Indian, Rajasthani",500.0,Koramangala 4th Block
Aisha Tharavad,No,No,,0,Quick Bites,"South Indian, Kerala",400.0,Koramangala 4th Block
Maruti Garden,No,No,,0,Casual Dining,"North Indian, Kerala",500.0,Koramangala 4th Block
Guntur's Vandanam Food Zone,No,No,,0,Quick Bites,"Andhra, Chinese, North Indian",600.0,Koramangala 4th Block
Take Us Away,No,No,,0,Delivery,Continental,400.0,Koramangala 4th Block
Juice & Burger Cafeteria,No,No,,0,Quick Bites,"Fast Food, Beverages",300.0,Koramangala 4th Block
Oveanly,No,No,,0,Delivery,Bakery,200.0,Koramangala 4th Block
Oolala,No,No,,0,"Takeaway, Delivery","Bakery, Desserts",600.0,Koramangala 4th Block
Bhaiyajees,No,No,,0,"Takeaway, Delivery","North Indian, South Indian",300.0,Koramangala 4th Block
Foodzoo,No,No,,0,Delivery,"Fast Food, Burger",450.0,Koramangala 4th Block
Ligang,No,No,,0,"Takeaway, Delivery",North Eastern,450.0,Koramangala 4th Block
RK Fast Food,No,No,,0,Quick Bites,"South Indian, Chinese",300.0,Koramangala 4th Block
Blends Juice Cafe,No,No,,0,Quick Bites,"Beverages, Desserts",200.0,Koramangala 4th Block
Desi Curry,No,No,,0,Delivery,North Indian,450.0,Koramangala 4th Block
FNC Seafood,No,No,,0,Quick Bites,"Seafood, Fast Food",400.0,Koramangala 4th Block
SV Food Garden,No,No,,0,Quick Bites,"Chinese, North Indian, South Indian, Hyderabadi",250.0,Koramangala 4th Block
Juicy Juice,No,No,,0,Beverage Shop,"Beverages, Ice Cream",100.0,Koramangala 4th Block
Rahar Momo & Cane,No,No,,0,Quick Bites,Fast Food,200.0,Koramangala 4th Block
Ginger restaurant,No,No,,0,Quick Bites,"Continental, Chinese, North Indian",400.0,Koramangala 4th Block
Smack,No,No,,0,Quick Bites,Fast Food,200.0,Koramangala 4th Block
Ayush Reddy Tiffins & Fast Food Center,No,No,,0,Quick Bites,"South Indian, Fast Food, Chinese",300.0,Koramangala 4th Block
Raja Foodpath,No,No,,0,Quick Bites,"North Indian, South Indian, Chinese",200.0,Koramangala 4th Block
Darjeeling Hot Momos,No,No,,0,Quick Bites,"Momos, Fast Food",300.0,Koramangala 4th Block
Chai Makhan,No,No,,0,Quick Bites,"North Indian, Chinese, South Indian",300.0,Koramangala 4th Block
ThugLife Rolls,No,No,,0,Quick Bites,Rolls,200.0,Koramangala 4th Block
Surabhi Restaurant,No,No,,0,Casual Dining,"South Indian, North Indian, Chinese, Desserts, Fast Food, Ice Cream",400.0,Koramangala 4th Block
Moonlights Kitchens,No,No,,0,Delivery,"North Indian, Chinese",400.0,Koramangala 4th Block
Shake It Off,No,No,,0,Beverage Shop,Beverages,200.0,Koramangala 4th Block
Asgardian Moreover Chai,No,No,,0,Quick Bites,"Fast Food, Rolls, Juices",300.0,Koramangala 4th Block
Fogg,No,Yes,,0,Quick Bites,"Fast Food, Chinese",200.0,Koramangala 4th Block
Coffee Time,No,No,,0,"Takeaway, Delivery","Sandwich, Juices, Burger",150.0,Koramangala 4th Block
Mongolian Kitchen,No,No,3.8,30,Quick Bites,"Chinese, Mongolian",300.0,Koramangala 4th Block
Hotel Marina,No,No,2.8,26,Quick Bites,"North Indian, Chinese, South Indian",400.0,Koramangala 4th Block
Sri Lakshmi Dhaba,No,No,3.1,18,Quick Bites,"North Indian, Chinese",250.0,Koramangala 4th Block
Nutrition on Wheels,No,No,2.9,23,"Takeaway, Delivery",Healthy Food,300.0,Koramangala 4th Block
Hotel Feast Ambur Biriyani,Yes,No,3.4,257,Quick Bites,"Biryani, Kebab",250.0,Koramangala 4th Block
Hello Resto-Pub,Yes,Yes,4.0,344,"Casual Dining, Pub",Continental,900.0,Koramangala 4th Block
SNACKOMATE,Yes,No,,0,Quick Bites,Fast Food,300.0,Koramangala 4th Block
Nonveg Dreams,Yes,No,,0,Delivery,"Biryani, North Indian",500.0,Koramangala 4th Block
Dawat E Biryani,No,No,,0,Quick Bites,Biryani,200.0,Koramangala 4th Block
Green Mango Restaurant,No,No,,0,Quick Bites,"Kerala, South Indian",300.0,Koramangala 4th Block
Kerala Mess,Yes,No,3.4,19,Quick Bites,Kerala,200.0,Koramangala 4th Block
Peppers,Yes,No,2.8,94,Quick Bites,"North Indian, Chinese",300.0,Koramangala 4th Block
Sreeraj Lassi Bar,Yes,No,4.0,87,Beverage Shop,Beverages,200.0,Koramangala 4th Block
Hotel Palace,Yes,No,3.7,24,Quick Bites,"Biryani, Chinese",250.0,Koramangala 4th Block
8 Slice,Yes,No,3.7,74,Delivery,Pizza,600.0,Koramangala 4th Block
Snack Souq,No,No,,0,"Takeaway, Delivery","Chinese, Rolls",250.0,Koramangala 4th Block
The Midnight Kitchen,Yes,No,3.8,72,Delivery,"Continental, Chinese",250.0,Koramangala 4th Block
Haji Ali Juice Centre,Yes,No,4.0,152,"Beverage Shop, Quick Bites","Beverages, Fast Food, Desserts",350.0,Koramangala 4th Block
Kebarbiq,No,No,4.0,138,Casual Dining,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",800.0,Koramangala 4th Block
Desi Vdesi,Yes,No,3.8,50,Quick Bites,"Fast Food, North Indian, Rolls",250.0,Koramangala 4th Block
Me And My Cake,No,No,3.2,4,Takeaway,"Bakery, Desserts",500.0,Koramangala 4th Block
Pakiza Dilli Darbar Restaurant,Yes,No,3.2,13,Quick Bites,Biryani,300.0,Koramangala 4th Block
Red Chilli,Yes,No,,0,Quick Bites,"Chinese, Biryani",400.0,Koramangala 4th Block
Aroma Fine Dine,Yes,Yes,4.0,126,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",900.0,Koramangala 4th Block
Al-Hind Sagar Kathi Rolls,No,No,,0,Kiosk,Rolls,150.0,Koramangala 4th Block
Just Sandwiches,Yes,No,3.6,10,Quick Bites,Sandwich,100.0,Koramangala 4th Block
Smiley's Kitchen,Yes,No,,0,"Takeaway, Delivery","North Indian, Fast Food",450.0,Koramangala 4th Block
Juice Lounge,Yes,No,3.1,28,Beverage Shop,"Beverages, Healthy Food",250.0,Koramangala 4th Block
Royal's Biryani,Yes,No,,0,Quick Bites,Biryani,300.0,Koramangala 4th Block
Tandoor Nation,Yes,No,3.0,39,Quick Bites,"North Indian, Chinese",400.0,Koramangala 4th Block
